Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2015/2016,Premier League,1,Leicester,38,23,12,3,68,36,81,68.42
2015/2016,Premier League,2,Arsenal,38,20,11,7,65,36,71,73.53
2015/2016,Premier League,3,Tottenham,38,19,13,6,69,35,70,63.42
2015/2016,Premier League,4,Manchester City,38,19,9,10,71,41,66,66.2
2015/2016,Premier League,5,Manchester United,38,19,9,10,49,35,66,45.42
2015/2016,Premier League,6,Southampton,38,18,9,11,59,41,63,56.2
2015/2016,Premier League,7,West Ham,38,16,14,8,65,51,62,54.4
2015/2016,Premier League,8,Liverpool,38,16,12,10,63,50,60,54.37
2015/2016,Premier League,9,Stoke,38,14,9,15,41,55,51,42.63
2015/2016,Premier League,10,Chelsea,38,12,14,12,59,53,50,54.48
2015/2016,Premier League,11,Everton,38,11,14,13,59,55,47,53.98
2015/2016,Premier League,12,Swansea,38,12,11,15,42,52,47,39.96
2015/2016,Premier League,13,Watford,38,12,9,17,40,50,45,43.2
2015/2016,Premier League,14,West Bromwich Albion,38,10,13,15,34,48,43,39.75
2015/2016,Premier League,15,Crystal Palace,38,11,9,18,39,51,42,42.51
2015/2016,Premier League,16,Bournemouth,38,11,9,18,45,67,42,38.71
2015/2016,Premier League,17,Sunderland,38,9,12,17,48,62,39,40.52
2015/2016,Premier League,18,Newcastle United,38,9,10,19,44,65,37,37.61
2015/2016,Premier League,19,Norwich,38,9,7,22,39,67,34,39.19
2015/2016,Premier League,20,Aston Villa,38,3,8,27,27,76,17,26.53
2015/2016,La Liga,1,Barcelona,38,29,4,5,112,29,91,113.6
2015/2016,La Liga,2,Real Madrid,38,28,6,4,110,34,90,90.45
2015/2016,La Liga,3,Atletico Madrid,38,28,4,6,63,18,88,54.93
2015/2016,La Liga,4,Villarreal,38,18,10,10,44,35,64,40.49
2015/2016,La Liga,5,Athletic Club,38,18,8,12,58,45,62,53.9
2015/2016,La Liga,6,Celta Vigo,38,17,9,12,51,59,60,50.2
2015/2016,La Liga,7,Sevilla,38,14,10,14,51,50,52,62.97
2015/2016,La Liga,8,Malaga,38,12,12,14,38,35,48,45.75
2015/2016,La Liga,9,Real Sociedad,38,13,9,16,45,48,48,47.95
2015/2016,La Liga,10,Real Betis,38,11,12,15,34,52,45,40.11
2015/2016,La Liga,11,Valencia,38,11,11,16,46,48,44,50.51
2015/2016,La Liga,12,Las Palmas,38,12,8,18,45,53,44,38.68
2015/2016,La Liga,13,Eibar,38,11,10,17,49,61,43,52.92
2015/2016,La Liga,14,Espanyol,38,12,7,19,40,74,43,46.09
2015/2016,La Liga,15,Deportivo La Coruna,38,8,18,12,45,61,42,43.75
2015/2016,La Liga,16,Sporting Gijon,38,10,9,19,40,62,39,42.57
2015/2016,La Liga,17,Granada,38,10,9,19,46,69,39,41.35
2015/2016,La Liga,18,Rayo Vallecano,38,9,11,18,52,73,38,52.26
2015/2016,La Liga,19,Getafe,38,9,9,20,37,67,36,41.77
2015/2016,La Liga,20,Levante,38,8,8,22,37,70,32,39.22
2015/2016,Serie A,1,Juventus,38,29,4,5,75,20,91,62.99
2015/2016,Serie A,2,Napoli,38,25,7,6,80,32,82,69.53
2015/2016,Serie A,3,Roma,38,23,11,4,83,41,80,64.43
2015/2016,Serie A,4,Inter,38,20,7,11,50,38,67,54.3
2015/2016,Serie A,5,Fiorentina,38,18,10,10,60,42,64,53.19
2015/2016,Serie A,6,Sassuolo,38,16,13,9,49,40,61,47.32
2015/2016,Serie A,7,AC Milan,38,15,12,11,49,43,57,53.91
2015/2016,Serie A,8,Lazio,38,15,9,14,52,52,54,55.21
2015/2016,Serie A,9,Chievo,38,13,11,14,43,45,50,40.59
2015/2016,Serie A,10,Genoa,38,13,7,18,45,48,46,45.29
