Posicion,Equipo,Puntos,Partidos_Jugados,Ganados,Empatados,Perdidos
1,Barcelona,88,38,28,4,6
2,Real Madrid,84,38,26,6,6
3,Atletico Madrid,76,38,22,10,6
4,Athletic Club,70,38,19,13,6
5,Villarreal,70,38,20,10,8
6,Real Betis,60,38,16,12,10
7,Celta Vigo,55,38,16,7,15
8,Rayo Vallecano,52,38,13,13,12
9,Osasuna,52,38,12,16,10
10,Mallorca,48,38,13,9,16
11,Real Sociedad,46,38,13,7,18
12,Valencia,46,38,11,13,14
13,Getafe,42,38,11,9,18
14,Espanyol,42,38,11,9,18
15,Alaves,42,38,10,12,16
16,Girona,41,38,11,8,19
17,Sevilla,41,38,10,11,17
18,Leganes,40,38,9,13,16
19,Las Palmas,32,38,8,8,22
20,Valladolid,16,38,4,4,30
