Posicion,Equipo,Puntos,Partidos_Jugados,Ganados,Empatados,Perdidos
1,Paris Saint Germain,84,34,26,6,2
2,Marseille,65,34,20,5,9
3,Monaco,61,34,18,7,9
4,Nice,60,34,17,9,8
5,Lille,60,34,17,9,8
6,Lyon,57,34,17,6,11
7,Strasbourg,57,34,16,9,9
8,Lens,52,34,15,7,12
9,Stade Brestois 29,50,34,15,5,14
10,Toulouse,42,34,11,9,14
11,Auxerre,42,34,11,9,14
12,Rennes,41,34,13,2,19
13,Nantes,36,34,8,12,14
14,Angers,36,34,10,6,18
15,Le Havre,34,34,10,4,20
16,Reims,33,34,8,9,17
17,Saint Etienne,30,34,8,6,20
18,Montpellier,16,34,4,4,26
