Posicion,Equipo,Puntos,Partidos_Jugados,Ganados,Empatados,Perdidos
1,Liverpool,84,38,25,9,4
2,Arsenal,74,38,20,14,4
3,Manchester City,71,38,21,8,9
4,Chelsea,69,38,20,9,9
5,Newcastle,66,38,20,6,12
6,Aston Villa,66,38,19,9,10
7,Nottingham Forest,65,38,19,8,11
8,Brighton,61,38,16,13,9
9,Bournemouth,56,38,15,11,12
10,Brentford,56,38,16,8,14
11,Fulham,54,38,15,9,14
12,Crystal Palace,53,38,13,14,11
13,Everton,48,38,11,15,12
14,West Ham,43,38,11,10,17
15,Manchester United,42,38,11,9,18
16,Wolves,42,38,12,6,20
17,Tottenham,38,38,11,5,22
18,Leicester,25,38,6,7,25
19,Ipswich,22,38,4,10,24
20,Southampton,12,38,2,6,30
