Posicion,Equipo,Puntos,Partidos_Jugados,Ganados,Empatados,Perdidos
1,Napoli,82,38,24,10,4
2,Inter,81,38,24,9,5
3,Atalanta,74,38,22,8,8
4,Juventus,70,38,18,16,4
5,AS Roma,69,38,20,9,9
6,Fiorentina,65,38,19,8,11
7,Lazio,65,38,18,11,9
8,AC Milan,63,38,18,9,11
9,Bologna,62,38,16,14,8
10,Como,49,38,13,10,15
11,Torino,44,38,10,14,14
12,Udinese,44,38,12,8,18
13,Genoa,43,38,10,13,15
14,Verona,37,38,10,7,21
15,Cagliari,36,38,9,9,20
16,Parma,36,38,7,15,16
17,Lecce,34,38,8,10,20
18,Empoli,31,38,6,13,19
19,Venezia,29,38,5,14,19
20,Monza,18,38,3,9,26
