Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2020/2021,Premier League,1,Manchester City,38,27,5,6,83,32,86,77.72
2020/2021,Premier League,2,Manchester United,38,21,11,6,73,44,74,63.17
2020/2021,Premier League,3,Liverpool,38,20,9,9,68,42,69,72.21
2020/2021,Premier League,4,Chelsea,38,19,10,9,58,36,67,68.66
2020/2021,Premier League,5,Leicester,38,20,6,12,68,50,66,58.8
2020/2021,Premier League,6,West Ham,38,19,8,11,62,47,65,60.34
2020/2021,Premier League,7,Tottenham,38,18,8,12,68,45,62,56.68
2020/2021,Premier League,8,Arsenal,38,18,7,13,55,39,61,52.25
2020/2021,Premier League,9,Leeds,38,18,5,15,62,54,59,59.26
2020/2021,Premier League,10,Everton,38,17,8,13,47,48,59,49.24
2020/2021,Premier League,11,Aston Villa,38,16,7,15,55,46,55,56.72
2020/2021,Premier League,12,Newcastle United,38,12,9,17,46,62,45,43.96
2020/2021,Premier League,13,Wolverhampton Wanderers,38,12,9,17,36,52,45,38.62
2020/2021,Premier League,14,Crystal Palace,38,12,8,18,41,66,44,35.29
2020/2021,Premier League,15,Southampton,38,12,7,19,47,68,43,45.28
2020/2021,Premier League,16,Brighton,38,9,14,15,40,46,41,53.82
2020/2021,Premier League,17,Burnley,38,10,9,19,33,55,39,38.13
2020/2021,Premier League,18,Fulham,38,5,13,20,27,53,28,41.06
2020/2021,Premier League,19,West Bromwich Albion,38,5,11,22,35,76,26,34.97
2020/2021,Premier League,20,Sheffield United,38,7,2,29,20,63,23,33.16
2020/2021,La Liga,1,Atletico Madrid,38,26,8,4,67,25,86,57.66
2020/2021,La Liga,2,Real Madrid,38,25,9,4,67,28,84,65.07
2020/2021,La Liga,3,Barcelona,38,24,7,7,85,38,79,83.96
2020/2021,La Liga,4,Sevilla,38,24,5,9,53,33,77,55.86
2020/2021,La Liga,5,Real Sociedad,38,17,11,10,59,38,62,63.15
2020/2021,La Liga,6,Real Betis,38,17,10,11,50,50,61,49.77
2020/2021,La Liga,7,Villarreal,38,15,13,10,60,44,58,57.86
2020/2021,La Liga,8,Celta Vigo,38,14,11,13,55,57,53,51.32
2020/2021,La Liga,9,Granada,38,13,7,18,47,65,46,41.05
2020/2021,La Liga,10,Athletic Club,38,11,13,14,46,42,46,43.06
2020/2021,La Liga,11,Osasuna,38,11,11,16,37,48,44,39.61
2020/2021,La Liga,12,Cadiz,38,11,11,16,36,58,44,36.7
2020/2021,La Liga,13,Valencia,38,10,13,15,50,53,43,41.89
2020/2021,La Liga,14,Levante,38,9,14,15,46,57,41,40.93
2020/2021,La Liga,15,Getafe,38,9,11,18,28,43,38,35.62
2020/2021,La Liga,16,Alaves,38,9,11,18,36,57,38,39.11
2020/2021,La Liga,17,Elche,38,8,12,18,34,55,36,30.4
2020/2021,La Liga,18,SD Huesca,38,7,13,18,34,53,34,37.98
2020/2021,La Liga,19,Real Valladolid,38,5,16,17,34,57,31,37.92
2020/2021,La Liga,20,Eibar,38,6,12,20,29,52,30,42.45
2020/2021,Serie A,1,Inter,38,28,7,3,89,35,91,78.35
2020/2021,Serie A,2,AC Milan,38,24,7,7,74,41,79,75.05
2020/2021,Serie A,3,Atalanta,38,23,9,6,90,47,78,82.01
2020/2021,Serie A,4,Juventus,38,23,9,6,77,38,78,83.53
2020/2021,Serie A,5,Napoli,38,24,5,9,86,41,77,74.98
2020/2021,Serie A,6,Lazio,38,21,5,12,61,55,68,58.7
2020/2021,Serie A,7,Roma,38,18,9,11,68,55,63,72.11
2020/2021,Serie A,8,Sassuolo,38,17,11,10,64,56,62,61.61
2020/2021,Serie A,9,Sampdoria,38,15,7,16,52,54,52,46.7
2020/2021,Serie A,10,Verona,38,10,13,15,43,48,43,47.97
2020/2021,Serie A,11,Genoa,38,10,12,16,47,58,42,40.71
2020/2021,Serie A,12,Bologna,38,10,11,17,51,65,41,57.53
2020/2021,Serie A,13,Fiorentina,38,9,13,16,47,59,40,46.2
2020/2021,Serie A,14,Udinese,38,10,10,18,42,58,40,48.24
2020/2021,Serie A,15,Spezia,38,9,12,17,52,72,39,47.9
2020/2021,Serie A,16,Cagliari,38,9,10,19,43,59,37,45.6
2020/2021,Serie A,17,Torino,38,7,16,15,50,69,37,49.6
2020/2021,Serie A,18,Benevento,38,7,12,19,40,75,33,38.65
2020/2021,Serie A,19,Crotone,38,6,5,27,45,92,23,39.64
2020/2021,Serie A,20,Parma Calcio 1913,38,3,11,24,39,83,20,42.98
2020/2021,Bundesliga,1,Bayern Munich,34,24,6,4,99,44,78,75.93
2020/2021,Bundesliga,2,RasenBallsport Leipzig,34,19,8,7,60,32,65,67.14
2020/2021,Bundesliga,3,Borussia Dortmund,34,20,4,10,75,46,64,68.95
2020/2021,Bundesliga,4,Wolfsburg,34,17,10,7,61,37,61,51.59
2020/2021,Bundesliga,5,Eintracht Frankfurt,34,16,12,6,69,53,60,60.53
2020/2021,Bundesliga,6,Bayer Leverkusen,34,14,10,10,53,39,52,47.28
2020/2021,Bundesliga,7,Union Berlin,34,12,14,8,50,43,50,46.0
2020/2021,Bundesliga,8,Borussia M.Gladbach,34,13,10,11,64,56,49,54.11
2020/2021,Bundesliga,9,VfB Stuttgart,34,12,9,13,56,55,45,52.18
2020/2021,Bundesliga,10,Freiburg,34,12,9,13,52,52,45,45.11
2020/2021,Bundesliga,11,Hoffenheim,34,11,10,13,52,54,43,50.32
2020/2021,Bundesliga,12,Mainz 05,34,10,9,15,39,56,39,48.46
2020/2021,Bundesliga,13,Augsburg,34,10,6,18,36,54,36,36.01
2020/2021,Bundesliga,14,Hertha Berlin,34,8,11,15,41,52,35,40.71
2020/2021,Bundesliga,15,Arminia Bielefeld,34,9,8,17,26,52,35,31.14
2020/2021,Bundesliga,16,FC Cologne,34,8,9,17,34,60,33,39.64
2020/2021,Bundesliga,17,Werder Bremen,34,7,10,17,36,57,31,32.51
2020/2021,Bundesliga,18,Schalke 04,34,3,7,24,25,86,16,27.66
2020/2021,Ligue 1,1,Lille,38,24,11,3,64,23,83,48.07
2020/2021,Ligue 1,2,Paris Saint Germain,38,26,4,8,86,28,82,83.89
2020/2021,Ligue 1,3,Monaco,38,24,6,8,76,42,78,70.35
2020/2021,Ligue 1,4,Lyon,38,22,10,6,81,43,76,82.37
2020/2021,Ligue 1,5,Marseille,38,16,12,10,54,47,60,49.29
2020/2021,Ligue 1,6,Rennes,38,16,10,12,52,40,58,46.75
2020/2021,Ligue 1,7,Lens,38,15,12,11,55,54,57,56.36
2020/2021,Ligue 1,8,Montpellier,38,14,12,12,60,62,54,52.27
2020/2021,Ligue 1,9,Nice,38,15,7,16,50,53,52,46.37
2020/2021,Ligue 1,10,Metz,38,12,11,15,44,48,47,42.26
2020/2021,Ligue 1,11,Saint-Etienne,38,12,10,16,42,54,46,47.28
2020/2021,Ligue 1,12,Girondins,38,13,6,19,42,56,45,43.55
2020/2021,Ligue 1,13,Angers,38,12,8,18,40,58,44,39.92
2020/2021,Ligue 1,14,Reims,38,9,15,14,42,50,42,33.23
2020/2021,Ligue 1,15,Strasbourg,38,11,9,18,49,58,42,52.78
2020/2021,Ligue 1,16,Lorient,38,11,9,18,50,68,42,48.15
2020/2021,Ligue 1,17,Brest,38,11,8,19,50,66,41,45.77
2020/2021,Ligue 1,18,Nantes,38,9,13,16,47,55,40,48.27
2020/2021,Ligue 1,19,Nimes,38,9,8,21,40,71,35,41.39
2020/2021,Ligue 1,20,Dijon,38,4,9,25,25,73,21,31.85
