Jugador,Equipo,Liga,Temporada,Posicion,Goles,Asistencias,Tarjetas_Amarillas,Tarjetas_Rojas
Ben White,Arsenal,ENG-Premier League,2425,Defensa / Suplente,0,2,2,0
Bukayo Saka,Arsenal,ENG-Premier League,2425,Delantero / Centrocampista / Suplente,6,10,3,0
David Raya,Arsenal,ENG-Premier League,2425,Portero,0,0,3,0
Declan Rice,Arsenal,ENG-Premier League,2425,Centrocampista / Suplente,4,7,5,1
Ethan Nwaneri,Arsenal,ENG-Premier League,2425,Delantero / Centrocampista / Suplente,4,2,1,0
Gabriel,Arsenal,ENG-Premier League,2425,Defensa,3,1,4,0
Gabriel Jesus,Arsenal,ENG-Premier League,2425,Delantero / Suplente,3,0,4,0
Gabriel Martinelli,Arsenal,ENG-Premier League,2425,Delantero / Centrocampista / Suplente,8,4,1,0
Jakub Kiwior,Arsenal,ENG-Premier League,2425,Defensa / Suplente,1,0,1,0
Jorginho,Arsenal,ENG-Premier League,2425,Centrocampista / Suplente,0,0,5,0
Jurriën Timber,Arsenal,ENG-Premier League,2425,Defensa / Suplente,1,3,7,0
Kai Havertz,Arsenal,ENG-Premier League,2425,Delantero / Centrocampista / Suplente,9,3,5,0
Kieran Tierney,Arsenal,ENG-Premier League,2425,Defensa / Suplente,1,0,0,0
Leandro Trossard,Arsenal,ENG-Premier League,2425,Delantero / Centrocampista / Suplente,8,7,2,1
Martin Odegaard,Arsenal,ENG-Premier League,2425,Centrocampista / Suplente,3,8,4,0
Mikel Merino,Arsenal,ENG-Premier League,2425,Delantero / Centrocampista / Suplente,7,2,2,1
Myles Lewis-Skelly,Arsenal,ENG-Premier League,2425,Defensa / Suplente,1,0,3,2
Nathan Butler-Oyedeji,Arsenal,ENG-Premier League,2425,Suplente,0,0,0,0
Oleksandr Zinchenko,Arsenal,ENG-Premier League,2425,Defensa / Centrocampista / Suplente,0,1,1,0
Raheem Sterling,Arsenal,ENG-Premier League,2425,Delantero / Centrocampista / Suplente,0,2,1,0
Reiss Nelson,Arsenal,ENG-Premier League,2425,Centrocampista / Suplente,1,1,1,0
Riccardo Calafiori,Arsenal,ENG-Premier League,2425,Defensa / Suplente,2,1,4,0
Takehiro Tomiyasu,Arsenal,ENG-Premier League,2425,Suplente,0,0,0,0
Thomas Partey,Arsenal,ENG-Premier League,2425,Defensa / Centrocampista / Suplente,4,2,4,0
William Saliba,Arsenal,ENG-Premier League,2425,Defensa,2,0,2,1
Amadou Onana,Aston Villa,ENG-Premier League,2425,Centrocampista / Suplente,3,0,4,0
Andrés García,Aston Villa,ENG-Premier League,2425,Defensa / Suplente,0,0,0,0
Axel Disasi,Aston Villa,ENG-Premier League,2425,Defensa / Suplente,1,0,3,0
Boubacar Kamara,Aston Villa,ENG-Premier League,2425,Defensa / Centrocampista / Suplente,1,0,2,0
Diego Carlos,Aston Villa,ENG-Premier League,2425,Defensa / Suplente,0,0,1,0
Donyell Malen,Aston Villa,ENG-Premier League,2425,Centrocampista / Suplente,3,0,0,0
Emiliano Buendía,Aston Villa,ENG-Premier League,2425,Suplente,0,0,1,0
Emiliano Martinez,Aston Villa,ENG-Premier League,2425,Portero,0,0,5,1
Ezri Konsa Ngoyo,Aston Villa,ENG-Premier League,2425,Defensa / Suplente,2,0,1,0
Ian Maatsen,Aston Villa,ENG-Premier League,2425,Defensa / Suplente,1,2,2,0
