league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
FRA-Ligue 1,2223,2022-08-05 Lyon-Ajaccio,2022-08-05,21:00,Lyon,2–1,Ajaccio,48516,Groupama Stadium,Benoît Bastien,/en/matches/47ab569b/Lyon-Ajaccio-August-5-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-06 Clermont Foot-Paris Saint-Germain,2022-08-06,21:00,Clermont Foot,0–5,Paris Saint-Germain,12203,Stade Gabriel Montpied,Jeremy Stinat,/en/matches/d99d9161/Clermont-Foot-Paris-Saint-Germain-August-6-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-06 Strasbourg-Monaco,2022-08-06,17:00,Strasbourg,1–2,Monaco,25359,Stade de la Meinau,François Letexier,/en/matches/b9e7f94c/Strasbourg-Monaco-August-6-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-07 Angers-Nantes,2022-08-07,15:00,Angers,0–0,Nantes,12000,Stade Raymond Kopa,Hakim Ben El Hadj Salem,/en/matches/136d5cbe/Angers-Nantes-August-7-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-07 Lens-Brest,2022-08-07,15:00,Lens,3–2,Brest,37015,Stade Bollaert-Delelis,Thomas Léonard,/en/matches/058c83eb/Lens-Brest-August-7-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-07 Lille-Auxerre,2022-08-07,15:00,Lille,4–1,Auxerre,32292,Stade Pierre-Mauroy,Eric Wattellier,/en/matches/cbdc95fe/Lille-Auxerre-August-7-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-07 Marseille-Reims,2022-08-07,20:45,Marseille,4–1,Reims,62738,Orange Vélodrome,Jérôme Brisard,/en/matches/534ab8ff/Marseille-Reims-August-7-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-07 Montpellier-Troyes,2022-08-07,15:00,Montpellier,3–2,Troyes,12003,Stade de la Mosson,Pierre Gaillouste,/en/matches/e3e9b9b5/Montpellier-Troyes-August-7-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-07 Rennes-Lorient,2022-08-07,17:05,Rennes,0–1,Lorient,28177,Roazhon Park,Bastien Dechepy,/en/matches/8ff3f9dd/Rennes-Lorient-August-7-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-07 Toulouse-Nice,2022-08-07,13:00,Toulouse,1–1,Nice,20567,Stadium Municipal,Johan Hamel,/en/matches/8f2f241b/Toulouse-Nice-August-7-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-12 Nantes-Lille,2022-08-12,21:00,Nantes,1–1,Lille,30689,Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,/en/matches/00173ae0/Nantes-Lille-August-12-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-13 Monaco-Rennes,2022-08-13,17:00,Monaco,1–1,Rennes,8000,Stade Louis II,Jérémie Pignard,/en/matches/86562a7e/Monaco-Rennes-August-13-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-13 Paris Saint-Germain-Montpellier,2022-08-13,21:00,Paris Saint-Germain,5–2,Montpellier,46000,Parc des Princes,Willy Delajod,/en/matches/63a572a1/Paris-Saint-Germain-Montpellier-August-13-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-14 Ajaccio-Lens,2022-08-14,15:00,Ajaccio,0–0,Lens,9070,Stade François Coty,Stéphanie Frappart,/en/matches/8b559e8f/Ajaccio-Lens-August-14-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-14 Auxerre-Angers,2022-08-14,15:00,Auxerre,2–2,Angers,15577,Stade de l'Abbé Deschamps,Ruddy Buquet,/en/matches/f5a2eb8d/Auxerre-Angers-August-14-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-14 Brest-Marseille,2022-08-14,20:45,Brest,1–1,Marseille,13709,Stade Francis-Le Blé,Jeremy Stinat,/en/matches/4a5a2571/Brest-Marseille-August-14-2022-Ligue-1
