league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
ITA-Serie A,2324,2023-08-19 Empoli-Hellas Verona,2023-08-19,18:30,Empoli,0–1,Hellas Verona,7940,Stadio Carlo Castellani,Luca Massimi,/en/matches/b787871d/Empoli-Hellas-Verona-August-19-2023-Serie-A
ITA-Serie A,2324,2023-08-19 Frosinone-Napoli,2023-08-19,18:30,Frosinone,1–3,Napoli,15822,Stadio Benito Stirpe,Matteo Marcenaro,/en/matches/305afcf5/Frosinone-Napoli-August-19-2023-Serie-A
ITA-Serie A,2324,2023-08-19 Genoa-Fiorentina,2023-08-19,20:45,Genoa,1–4,Fiorentina,33045,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,/en/matches/8260e428/Genoa-Fiorentina-August-19-2023-Serie-A
ITA-Serie A,2324,2023-08-19 Inter-Monza,2023-08-19,20:45,Inter,2–0,Monza,72509,Stadio Giuseppe Meazza,Andrea Colombo,/en/matches/254420f7/Internazionale-Monza-August-19-2023-Serie-A
ITA-Serie A,2324,2023-08-20 Lecce-Lazio,2023-08-20,20:45,Lecce,2–1,Lazio,29081,Stadio Comunale Via Del Mare,Federico Dionisi,/en/matches/3e38d727/Lecce-Lazio-August-20-2023-Serie-A
ITA-Serie A,2324,2023-08-20 Roma-Salernitana,2023-08-20,18:30,Roma,2–2,Salernitana,62050,Stadio Olimpico,Ermanno Feliciani,/en/matches/9191f715/Roma-Salernitana-August-20-2023-Serie-A
ITA-Serie A,2324,2023-08-20 Sassuolo-Atalanta,2023-08-20,18:30,Sassuolo,0–2,Atalanta,12298,Mapei Stadium - Città del Tricolore,Matteo Marchetti,/en/matches/32dc37db/Sassuolo-Atalanta-August-20-2023-Serie-A
ITA-Serie A,2324,2023-08-20 Udinese-Juventus,2023-08-20,20:45,Udinese,0–3,Juventus,24911,Bluenergy Stadium,Antonio Rapuano,/en/matches/8b6e8a62/Udinese-Juventus-August-20-2023-Serie-A
ITA-Serie A,2324,2023-08-21 Bologna-Milan,2023-08-21,20:45,Bologna,0–2,Milan,30203,Stadio Renato Dall'Ara,Luca Pairetto,/en/matches/93dccf6e/Bologna-Milan-August-21-2023-Serie-A
ITA-Serie A,2324,2023-08-21 Torino-Cagliari,2023-08-21,18:30,Torino,0–0,Cagliari,20296,Stadio Olimpico di Torino,Francesco Cosso,/en/matches/fdc03e7f/Torino-Cagliari-August-21-2023-Serie-A
ITA-Serie A,2324,2023-08-26 Frosinone-Atalanta,2023-08-26,18:30,Frosinone,2–1,Atalanta,13426,Stadio Benito Stirpe,Juan Sacchi,/en/matches/0b355cdd/Frosinone-Atalanta-August-26-2023-Serie-A
ITA-Serie A,2324,2023-08-26 Hellas Verona-Roma,2023-08-26,20:45,Hellas Verona,2–1,Roma,23147,Stadio Marc'Antonio Bentegodi,Daniele Doveri,/en/matches/3c6a9d3d/Hellas-Verona-Roma-August-26-2023-Serie-A
ITA-Serie A,2324,2023-08-26 Milan-Torino,2023-08-26,20:45,Milan,4–1,Torino,72013,Stadio Giuseppe Meazza,Maurizio Mariani,/en/matches/4cc2731e/Milan-Torino-August-26-2023-Serie-A
ITA-Serie A,2324,2023-08-26 Monza-Empoli,2023-08-26,18:30,Monza,2–0,Empoli,8155,U-Power Stadium,Gianluca Aureliano,/en/matches/3d880bc3/Monza-Empoli-August-26-2023-Serie-A
ITA-Serie A,2324,2023-08-27 Fiorentina-Lecce,2023-08-27,18:30,Fiorentina,2–2,Lecce,34604,Stadio Artemio Franchi,Maria Sole Ferrieri Caputi,/en/matches/d179c57a/Fiorentina-Lecce-August-27-2023-Serie-A
ITA-Serie A,2324,2023-08-27 Juventus-Bologna,2023-08-27,18:30,Juventus,1–1,Bologna,36107,Allianz Stadium,Marco Di Bello,/en/matches/6992283e/Juventus-Bologna-August-27-2023-Serie-A
ITA-Serie A,2324,2023-08-27 Lazio-Genoa,2023-08-27,20:45,Lazio,0–1,Genoa,40000,Stadio Olimpico,Livio Marinelli,/en/matches/e7878318/Lazio-Genoa-August-27-2023-Serie-A
ITA-Serie A,2324,2023-08-27 Napoli-Sassuolo,2023-08-27,20:45,Napoli,2–0,Sassuolo,46925,Stadio Diego Armando Maradona,Antonio Giua,/en/matches/4401df22/Napoli-Sassuolo-August-27-2023-Serie-A
ITA-Serie A,2324,2023-08-28 Cagliari-Inter,2023-08-28,20:45,Cagliari,0–2,Inter,16412,Unipol Domus,Michael Fabbri,/en/matches/631e94b3/Cagliari-Internazionale-August-28-2023-Serie-A
ITA-Serie A,2324,2023-08-28 Salernitana-Udinese,2023-08-28,18:30,Salernitana,1–1,Udinese,20000,Stadio Arechi,Davide Massa,/en/matches/767c80b3/Salernitana-Udinese-August-28-2023-Serie-A
ITA-Serie A,2324,2023-09-01 Roma-Milan,2023-09-01,20:45,Roma,1–2,Milan,61690,Stadio Olimpico,Antonio Rapuano,/en/matches/03e9b7f3/Roma-Milan-September-1-2023-Serie-A
ITA-Serie A,2324,2023-09-01 Sassuolo-Hellas Verona,2023-09-01,18:30,Sassuolo,3–1,Hellas Verona,10356,Mapei Stadium - Città del Tricolore,Marco Piccinini,/en/matches/ebe46174/Sassuolo-Hellas-Verona-September-1-2023-Serie-A
ITA-Serie A,2324,2023-09-02 Atalanta-Monza,2023-09-02,20:45,Atalanta,3–0,Monza,14985,Gewiss Stadium,Matteo Marcenaro,/en/matches/6e72c38b/Atalanta-Monza-September-2-2023-Serie-A
