date,time,home_team,score,away_team,attendance,venue,referee,match_report
2024-08-16,20:45,Le Havre,1–4,Paris Saint-Germain,23167,Stade Océane,Willy Delajod,https://fbref.com/en/matches/a6b98e33/Le-Havre-Paris-Saint-Germain-August-16-2024-Ligue-1
2024-08-17,17:00,Brest,1–5,Marseille,14962,Stade Francis-Le Blé,Benoît Bastien,https://fbref.com/en/matches/35c1995a/Brest-Marseille-August-17-2024-Ligue-1
2024-08-17,21:00,Monaco,1–0,Saint-Étienne,14250,Stade Louis II,Clément Turpin,https://fbref.com/en/matches/f84bb85e/Monaco-Saint-Etienne-August-17-2024-Ligue-1
2024-08-17,19:00,Reims,0–2,Lille,14755,Stade Auguste-Delaune,Eric Wattellier,https://fbref.com/en/matches/06aa495e/Reims-Lille-August-17-2024-Ligue-1
2024-08-18,17:00,Angers,0–1,Lens,14811,Stade Raymond Kopa,Thomas Léonard,https://fbref.com/en/matches/cabadc94/Angers-Lens-August-18-2024-Ligue-1
2024-08-18,15:00,Auxerre,2–1,Nice,16354,Stade de l'Abbé Deschamps,Romain Lissorgue,https://fbref.com/en/matches/18a24a50/Auxerre-Nice-August-18-2024-Ligue-1
2024-08-18,17:00,Montpellier,1–1,Strasbourg,15706,Stade de la Mosson-Mondial 98,Mathieu Vernice,https://fbref.com/en/matches/652abd24/Montpellier-Strasbourg-August-18-2024-Ligue-1
2024-08-18,20:45,Rennes,3–0,Lyon,26026,Roazhon Park,Benoît Millot,https://fbref.com/en/matches/bc46a367/Rennes-Lyon-August-18-2024-Ligue-1
2024-08-18,17:00,Toulouse,0–0,Nantes,25491,Stadium de Toulouse,Jeremy Stinat,https://fbref.com/en/matches/67b3b54c/Toulouse-Nantes-August-18-2024-Ligue-1
2024-08-23,20:45,Paris Saint-Germain,6–0,Montpellier,46000,Parc des Princes,Marc Bollengier,https://fbref.com/en/matches/910be353/Paris-Saint-Germain-Montpellier-August-23-2024-Ligue-1
2024-08-24,19:00,Lille,2–0,Angers,36906,Decathlon Arena - Stade Pierre-Mauroy,Abdelatif Kherradji,https://fbref.com/en/matches/70fdbb5a/Lille-Angers-August-24-2024-Ligue-1
2024-08-24,17:00,Lyon,0–2,Monaco,54392,Groupama Stadium,Stéphanie Frappart,https://fbref.com/en/matches/1041ac42/Lyon-Monaco-August-24-2024-Ligue-1
2024-08-24,21:00,Saint-Étienne,0–2,Le Havre,16958,Stade Geoffroy-Guichard,Florent Batta,https://fbref.com/en/matches/fd677aba/Saint-Etienne-Le-Havre-August-24-2024-Ligue-1
2024-08-25,15:00,Lens,2–0,Brest,37435,Stade Bollaert-Delelis,Jérémie Pignard,https://fbref.com/en/matches/7fe11a31/Lens-Brest-August-25-2024-Ligue-1
2024-08-25,20:45,Marseille,2–2,Reims,63841,Orange Vélodrome,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/3a93bc8b/Marseille-Reims-August-25-2024-Ligue-1
2024-08-25,17:00,Nantes,2–0,Auxerre,31077,Stade de la Beaujoire - Louis Fonteneau,Gaël Angoula,https://fbref.com/en/matches/57fe0d50/Nantes-Auxerre-August-25-2024-Ligue-1
2024-08-25,17:00,Nice,1–1,Toulouse,21656,Allianz Riviera,Bastien Dechepy,https://fbref.com/en/matches/33b61302/Nice-Toulouse-August-25-2024-Ligue-1
2024-08-25,17:00,Strasbourg,3–1,Rennes,19026,Stade de la Meinau,Eric Wattellier,https://fbref.com/en/matches/efa54e4b/Strasbourg-Rennes-August-25-2024-Ligue-1
2024-08-30,20:45,Lyon,4–3,Strasbourg,43805,Groupama Stadium,Thomas Léonard,https://fbref.com/en/matches/2c5ec7aa/Lyon-Strasbourg-August-30-2024-Ligue-1
2024-08-31,17:00,Brest,4–0,Saint-Étienne,14885,Stade Francis-Le Blé,Gaël Angoula,https://fbref.com/en/matches/82c19aa6/Brest-Saint-Etienne-August-31-2024-Ligue-1
2024-08-31,19:00,Montpellier,1–3,Nantes,13000,Stade de la Mosson-Mondial 98,Benoît Millot,https://fbref.com/en/matches/5b8c614c/Montpellier-Nantes-August-31-2024-Ligue-1
2024-08-31,21:00,Toulouse,1–3,Marseille,19178,Stadium de Toulouse,Stéphanie Frappart,https://fbref.com/en/matches/ebbcbe63/Toulouse-Marseille-August-31-2024-Ligue-1
2024-09-01,17:00,Angers,1–4,Nice,9168,Stade Raymond Kopa,Jeremy Stinat,https://fbref.com/en/matches/97e962bb/Angers-Nice-September-1-2024-Ligue-1
2024-09-01,17:00,Le Havre,3–1,Auxerre,19715,Stade Océane,Marc Bollengier,https://fbref.com/en/matches/3bc2668a/Le-Havre-Auxerre-September-1-2024-Ligue-1
2024-09-01,20:45,Lille,1–3,Paris Saint-Germain,45434,Decathlon Arena - Stade Pierre-Mauroy,Benoît Bastien,https://fbref.com/en/matches/49234140/Lille-Paris-Saint-Germain-September-1-2024-Ligue-1
2024-09-01,15:00,Monaco,1–1,Lens,9030,Stade Louis II,Willy Delajod,https://fbref.com/en/matches/a93b08ff/Monaco-Lens-September-1-2024-Ligue-1
2024-09-01,17:00,Reims,2–1,Rennes,12856,Stade Auguste-Delaune,Mathieu Vernice,https://fbref.com/en/matches/4abb133c/Reims-Rennes-September-1-2024-Ligue-1
2024-09-13,20:45,Saint-Étienne,1–0,Lille,23000,Stade Geoffroy-Guichard,François Letexier,https://fbref.com/en/matches/47e23fb5/Saint-Etienne-Lille-September-13-2024-Ligue-1
2024-09-14,19:00,Auxerre,0–3,Monaco,17045,Stade de l'Abbé Deschamps,Abdelatif Kherradji,https://fbref.com/en/matches/b4fb60b5/Auxerre-Monaco-September-14-2024-Ligue-1
2024-09-14,17:00,Marseille,2–0,Nice,65803,Orange Vélodrome,Benoît Millot,https://fbref.com/en/matches/2034c29c/Marseille-Nice-September-14-2024-Ligue-1
2024-09-14,21:00,Paris Saint-Germain,3–1,Brest,47000,Parc des Princes,Clément Turpin,https://fbref.com/en/matches/f22a7db0/Paris-Saint-Germain-Brest-September-14-2024-Ligue-1
2024-09-15,20:45,Lens,0–0,Lyon,38116,Stade Bollaert-Delelis,Bastien Dechepy,https://fbref.com/en/matches/6f7e5cde/Lens-Lyon-September-15-2024-Ligue-1
2024-09-15,17:00,Nantes,1–2,Reims,29811,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,https://fbref.com/en/matches/1411fc56/Nantes-Reims-September-15-2024-Ligue-1
2024-09-15,15:00,Rennes,3–0,Montpellier,27451,Roazhon Park,Jérémie Pignard,https://fbref.com/en/matches/984e7243/Rennes-Montpellier-September-15-2024-Ligue-1
2024-09-15,17:00,Strasbourg,1–1,Angers,19135,Stade de la Meinau,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/06ecf73c/Strasbourg-Angers-September-15-2024-Ligue-1
2024-09-15,17:00,Toulouse,2–0,Le Havre,30097,Stadium de Toulouse,Eric Wattellier,https://fbref.com/en/matches/f4982a54/Toulouse-Le-Havre-September-15-2024-Ligue-1
2024-09-20,20:45,Nice,8–0,Saint-Étienne,30024,Allianz Riviera,Thomas Léonard,https://fbref.com/en/matches/85495c0d/Nice-Saint-Etienne-September-20-2024-Ligue-1
2024-09-21,17:00,Lille,3–3,Strasbourg,39516,Decathlon Arena - Stade Pierre-Mauroy,Jérôme Brisard,https://fbref.com/en/matches/2bff6ebd/Lille-Strasbourg-September-21-2024-Ligue-1
2024-09-21,21:00,Reims,1–1,Paris Saint-Germain,20220,Stade Auguste-Delaune,Jérémie Pignard,https://fbref.com/en/matches/7274e9a5/Reims-Paris-Saint-Germain-September-21-2024-Ligue-1
2024-09-21,19:00,Rennes,1–1,Lens,28500,Roazhon Park,Jeremy Stinat,https://fbref.com/en/matches/73dc5828/Rennes-Lens-September-21-2024-Ligue-1
2024-09-22,17:00,Angers,1–1,Nantes,16960,Stade Raymond Kopa,Mathieu Vernice,https://fbref.com/en/matches/601ddfc9/Angers-Nantes-September-22-2024-Ligue-1
2024-09-22,17:00,Brest,2–0,Toulouse,14580,Stade Francis-Le Blé,Florent Batta,https://fbref.com/en/matches/7cbba12e/Brest-Toulouse-September-22-2024-Ligue-1
2024-09-22,20:45,Lyon,2–3,Marseille,53928,Groupama Stadium,Benoît Bastien,https://fbref.com/en/matches/35b20e2f/Choc-des-Olympiques-Lyon-Marseille-September-22-2024-Ligue-1
2024-09-22,15:00,Monaco,3–1,Le Havre,6000,Stade Louis II,Stéphanie Frappart,https://fbref.com/en/matches/017d7a9d/Monaco-Le-Havre-September-22-2024-Ligue-1
2024-09-22,17:00,Montpellier,3–2,Auxerre,11643,Stade de la Mosson-Mondial 98,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/ac95cb33/Montpellier-Auxerre-September-22-2024-Ligue-1
2024-09-27,19:00,Auxerre,3–0,Brest,15381,Stade de l'Abbé Deschamps,Jeremy Stinat,https://fbref.com/en/matches/8c59509d/Auxerre-Brest-September-27-2024-Ligue-1
2024-09-27,21:00,Paris Saint-Germain,3–1,Rennes,47000,Parc des Princes,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/ab0643c6/Paris-Saint-Germain-Rennes-September-27-2024-Ligue-1
2024-09-28,19:00,Le Havre,0–3,Lille,21369,Stade Océane,Bastien Dechepy,https://fbref.com/en/matches/e08ccde6/Le-Havre-Lille-September-28-2024-Ligue-1
2024-09-28,17:00,Lens,0–0,Nice,37301,Stade Bollaert-Delelis,François Letexier,https://fbref.com/en/matches/340afccd/Lens-Nice-September-28-2024-Ligue-1
2024-09-28,21:00,Monaco,2–1,Montpellier,13065,Stade Louis II,Marc Bollengier,https://fbref.com/en/matches/54ce742c/Monaco-Montpellier-September-28-2024-Ligue-1
2024-09-29,17:00,Angers,1–3,Reims,8526,Stade Raymond Kopa,Eric Wattellier,https://fbref.com/en/matches/1ea5cb30/Angers-Reims-September-29-2024-Ligue-1
2024-09-29,17:00,Nantes,2–2,Saint-Étienne,34005,Stade de la Beaujoire - Louis Fonteneau,Abdelatif Kherradji,https://fbref.com/en/matches/38a94d90/Nantes-Saint-Etienne-September-29-2024-Ligue-1
2024-09-29,20:45,Strasbourg,1–0,Marseille,19790,Stade de la Meinau,Willy Delajod,https://fbref.com/en/matches/ebcd9980/Strasbourg-Marseille-September-29-2024-Ligue-1
2024-09-29,15:00,Toulouse,1–2,Lyon,30026,Stadium de Toulouse,Gaël Angoula,https://fbref.com/en/matches/a7954dea/Toulouse-Lyon-September-29-2024-Ligue-1
2024-10-04,20:45,Marseille,1–1,Angers,54568,Orange Vélodrome,Romain Lissorgue,https://fbref.com/en/matches/c2dcc859/Marseille-Angers-October-4-2024-Ligue-1
