date,time,home_team,score,away_team,attendance,venue,referee,match_report
2025-08-22,20:30,Bayern Munich,6–0,RB Leipzig,75000,Allianz Arena,Florian Badstübner,https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga
2025-08-23,15:30,Eintracht Frankfurt,4–1,Werder Bremen,59500,Deutsche Bank Park,Harm Osmers,https://fbref.com/en/matches/c5a0f8ab/Eintracht-Frankfurt-Werder-Bremen-August-23-2025-Bundesliga
2025-08-23,15:30,Freiburg,1–3,Augsburg,33600,Europa-Park Stadion,Felix Zwayer,https://fbref.com/en/matches/88a38ef6/Freiburg-Augsburg-August-23-2025-Bundesliga
2025-08-23,15:30,Heidenheim,1–3,Wolfsburg,13000,Voith-Arena,Benjamin Brand,https://fbref.com/en/matches/6e029e9d/Heidenheim-Wolfsburg-August-23-2025-Bundesliga
2025-08-23,15:30,Leverkusen,1–2,Hoffenheim,29390,BayArena,Daniel Siebert,https://fbref.com/en/matches/78cc44a5/Leverkusen-Hoffenheim-August-23-2025-Bundesliga
2025-08-23,18:30,St Pauli,3–3,Dortmund,29546,Millerntor-Stadion,Matthias Jöllenbeck,https://fbref.com/en/matches/243e124a/St-Pauli-Dortmund-August-23-2025-Bundesliga
2025-08-23,15:30,Union Berlin,2–1,Stuttgart,22012,Stadion An der Alten Försterei,Robert Hartmann,https://fbref.com/en/matches/b7adc246/Union-Berlin-Stuttgart-August-23-2025-Bundesliga
2025-08-24,17:30,Gladbach,0–0,Hamburger SV,54042,Stadion im Borussia-Park,Sascha Stegemann,https://fbref.com/en/matches/fd0e77f1/Monchengladbach-Hamburger-SV-August-24-2025-Bundesliga
2025-08-24,15:30,Mainz 05,0–1,Köln,33305,Mewa Arena,Tobias Stieler,https://fbref.com/en/matches/1118532c/Mainz-05-Koln-August-24-2025-Bundesliga
2025-08-29,20:30,Hamburger SV,0–2,St Pauli,57000,Volksparkstadion,Christian Dingert,https://fbref.com/en/matches/c2913887/Hamburger-SV-St-Pauli-August-29-2025-Bundesliga
2025-08-30,18:30,Augsburg,2–3,Bayern Munich,30660,WWK Arena,Florian Exner,https://fbref.com/en/matches/ea3ae751/Augsburg-Bayern-Munich-August-30-2025-Bundesliga
2025-08-30,15:30,Hoffenheim,1–3,Eintracht Frankfurt,30150,PreZero Arena,Timo Gerach,https://fbref.com/en/matches/3dd41a40/Hoffenheim-Eintracht-Frankfurt-August-30-2025-Bundesliga
2025-08-30,15:30,RB Leipzig,2–0,Heidenheim,43495,Red Bull Arena,Frank Willenborg,https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga
2025-08-30,15:30,Stuttgart,1–0,Gladbach,60000,MHPArena,Sven Jablonski,https://fbref.com/en/matches/cc790c96/Stuttgart-Monchengladbach-August-30-2025-Bundesliga
2025-08-30,15:30,Werder Bremen,3–3,Leverkusen,42100,Weserstadion,Robin Braun,https://fbref.com/en/matches/8d20b088/Werder-Bremen-Leverkusen-August-30-2025-Bundesliga
2025-08-31,17:30,Dortmund,3–0,Union Berlin,81365,Signal Iduna Park,Daniel Schlager,https://fbref.com/en/matches/217ef044/Dortmund-Union-Berlin-August-31-2025-Bundesliga
2025-08-31,19:30,Köln,4–1,Freiburg,50000,RheinEnergieSTADION,Tobias Reichel,https://fbref.com/en/matches/4291408f/Koln-Freiburg-August-31-2025-Bundesliga
2025-08-31,15:30,Wolfsburg,1–1,Mainz 05,21893,Volkswagen Arena,Sören Storks,https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga
2025-09-12,20:30,Leverkusen,3–1,Eintracht Frankfurt,30210,BayArena,Deniz Aytekin,https://fbref.com/en/matches/09882b39/Leverkusen-Eintracht-Frankfurt-September-12-2025-Bundesliga
2025-09-13,18:30,Bayern Munich,5–0,Hamburger SV,75000,Allianz Arena,Tobias Stieler,https://fbref.com/en/matches/91e6a499/Bayern-Munich-Hamburger-SV-September-13-2025-Bundesliga
2025-09-13,15:30,Freiburg,3–1,Stuttgart,34700,Europa-Park Stadion,Daniel Siebert,https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga
2025-09-13,15:30,Heidenheim,0–2,Dortmund,15000,Voith-Arena,Felix Zwayer,https://fbref.com/en/matches/906ce9a1/Heidenheim-Dortmund-September-13-2025-Bundesliga
2025-09-13,15:30,Mainz 05,0–1,RB Leipzig,30000,Mewa Arena,Sven Jablonski,https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga
2025-09-13,15:30,Union Berlin,2–4,Hoffenheim,21732,Stadion An der Alten Försterei,Tobias Welz,https://fbref.com/en/matches/09242157/Union-Berlin-Hoffenheim-September-13-2025-Bundesliga
2025-09-13,15:30,Wolfsburg,3–3,Köln,28917,Volkswagen Arena,Bastian Dankert,https://fbref.com/en/matches/a7819671/Wolfsburg-Koln-September-13-2025-Bundesliga
2025-09-14,17:30,Gladbach,0–4,Werder Bremen,52653,Stadion im Borussia-Park,Matthias Jöllenbeck,https://fbref.com/en/matches/3b5873a4/Monchengladbach-Werder-Bremen-September-14-2025-Bundesliga
2025-09-14,15:30,St Pauli,2–1,Augsburg,29546,Millerntor-Stadion,Harm Osmers,https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga
2025-09-19,20:30,Stuttgart,2–0,St Pauli,60000,MHPArena,Sascha Stegemann,https://fbref.com/en/matches/44d66179/Stuttgart-St-Pauli-September-19-2025-Bundesliga
2025-09-20,15:30,Augsburg,1–4,Mainz 05,29162,WWK Arena,Daniel Schlager,https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga
2025-09-20,15:30,Hamburger SV,2–1,Heidenheim,57000,Volksparkstadion,Florian Exner,https://fbref.com/en/matches/bca86606/Hamburger-SV-Heidenheim-September-20-2025-Bundesliga
2025-09-20,15:30,Hoffenheim,1–4,Bayern Munich,30150,PreZero Arena,Robert Hartmann,https://fbref.com/en/matches/f7a59cca/Hoffenheim-Bayern-Munich-September-20-2025-Bundesliga
2025-09-20,18:30,RB Leipzig,3–1,Köln,47117,Red Bull Arena,Benjamin Brand,https://fbref.com/en/matches/41b85666/RB-Leipzig-Koln-September-20-2025-Bundesliga
