date,time,home_team,score,away_team,attendance,venue,referee,match_report
21/08,20:45,Empoli,1–3,Lazio,3655,Stadio Carlo Castellani,Simone Sozza,https://fbref.com/en/matches/e057a19f/Empoli-Lazio-August-21-2021-Serie-A
21/08,18:30,Hellas Verona,2–3,Sassuolo,5448,Stadio Marc'Antonio Bentegodi,Manuel Volpi,https://fbref.com/en/matches/81074285/Hellas-Verona-Sassuolo-August-21-2021-Serie-A
21/08,18:30,Inter,4–0,Genoa,27402,Stadio Giuseppe Meazza,Valerio Marini,https://fbref.com/en/matches/5c162318/Internazionale-Genoa-August-21-2021-Serie-A
21/08,20:45,Torino,1–2,Atalanta,3475,Stadio Olimpico di Torino,Daniele Chiffi,https://fbref.com/en/matches/0465e44e/Torino-Atalanta-August-21-2021-Serie-A
22/08,18:30,Bologna,3–2,Salernitana,8375,Stadio Renato Dall'Ara,Antonio Rapuano,https://fbref.com/en/matches/015e7a96/Bologna-Salernitana-August-22-2021-Serie-A
22/08,20:45,Napoli,2–0,Venezia,20000,Stadio Diego Armando Maradona,Gianluca Aureliano,https://fbref.com/en/matches/cca0edfd/Napoli-Venezia-August-22-2021-Serie-A
22/08,20:45,Roma,3–1,Fiorentina,26997,Stadio Olimpico,Luca Pairetto,https://fbref.com/en/matches/dabdad9f/Roma-Fiorentina-August-22-2021-Serie-A
22/08,18:30,Udinese,2–2,Juventus,9660,Dacia Arena,Ivan Pezzuto,https://fbref.com/en/matches/3d5b1245/Udinese-Juventus-August-22-2021-Serie-A
23/08,18:30,Cagliari,2–2,Spezia,5387,Unipol Domus,Francesco Fourneau,https://fbref.com/en/matches/b2c86bfc/Cagliari-Spezia-August-23-2021-Serie-A
23/08,20:45,Sampdoria,0–1,Milan,5000,Stadio Comunale Luigi Ferraris,Marco Guida,https://fbref.com/en/matches/2e04a6c0/Sampdoria-Milan-August-23-2021-Serie-A
27/08,20:45,Hellas Verona,1–3,Inter,11214,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,https://fbref.com/en/matches/c8bd861a/Hellas-Verona-Internazionale-August-27-2021-Serie-A
27/08,18:30,Udinese,3–0,Venezia,8274,Dacia Arena,Livio Marinelli,https://fbref.com/en/matches/2747c144/Udinese-Venezia-August-27-2021-Serie-A
28/08,18:30,Atalanta,0–0,Bologna,7912,Stadio Atleti Azzurri d'Italia,Daniele Orsato,https://fbref.com/en/matches/b8799a66/Atalanta-Bologna-August-28-2021-Serie-A
28/08,20:45,Fiorentina,2–1,Torino,12592,Stadio Artemio Franchi,Maurizio Mariani,https://fbref.com/en/matches/27657443/Fiorentina-Torino-August-28-2021-Serie-A
28/08,20:45,Juventus,0–1,Empoli,17584,Allianz Stadium,Davide Ghersini,https://fbref.com/en/matches/4112adb3/Juventus-Empoli-August-28-2021-Serie-A
28/08,18:30,Lazio,6–1,Spezia,20000,Stadio Olimpico,Federico Dionisi,https://fbref.com/en/matches/cbe9b1ae/Lazio-Spezia-August-28-2021-Serie-A
29/08,18:30,Genoa,1–2,Napoli,20000,Stadio Comunale Luigi Ferraris,Marco Di Bello,https://fbref.com/en/matches/744087da/Genoa-Napoli-August-29-2021-Serie-A
29/08,20:45,Milan,4–1,Cagliari,31946,Stadio Giuseppe Meazza,Marco Serra,https://fbref.com/en/matches/0f78d641/Milan-Cagliari-August-29-2021-Serie-A
29/08,20:45,Salernitana,0–4,Roma,12500,Stadio Arechi,Rosario Abisso,https://fbref.com/en/matches/3a200383/Salernitana-Roma-August-29-2021-Serie-A
29/08,18:30,Sassuolo,0–0,Sampdoria,3309,Mapei Stadium - Città del Tricolore,Juan Sacchi,https://fbref.com/en/matches/4637a73f/Sassuolo-Sampdoria-August-29-2021-Serie-A
11/09,20:45,Atalanta,1–2,Fiorentina,9162,Stadio Atleti Azzurri d'Italia,Valerio Marini,https://fbref.com/en/matches/7559e08b/Atalanta-Fiorentina-September-11-2021-Serie-A
11/09,15:00,Empoli,1–2,Venezia,2511,Stadio Carlo Castellani,Antonio Rapuano,https://fbref.com/en/matches/0d2de0b9/Empoli-Venezia-September-11-2021-Serie-A
11/09,18:00,Napoli,2–1,Juventus,23500,Stadio Diego Armando Maradona,Massimiliano Irrati,https://fbref.com/en/matches/4e0811bf/Napoli-Juventus-September-11-2021-Serie-A
12/09,15:00,Cagliari,2–3,Genoa,6423,Unipol Domus,Luca Pairetto,https://fbref.com/en/matches/35744669/Cagliari-Genoa-September-12-2021-Serie-A
12/09,18:00,Milan,2–0,Lazio,36207,Stadio Giuseppe Meazza,Daniele Chiffi,https://fbref.com/en/matches/fe2d72aa/Milan-Lazio-September-12-2021-Serie-A
12/09,20:45,Roma,2–1,Sassuolo,29604,Stadio Olimpico,Simone Sozza,https://fbref.com/en/matches/e3c9a6a7/Roma-Sassuolo-September-12-2021-Serie-A
12/09,12:30,Sampdoria,2–2,Inter,7441,Stadio Comunale Luigi Ferraris,Daniele Orsato,https://fbref.com/en/matches/220af622/Sampdoria-Internazionale-September-12-2021-Serie-A
12/09,15:00,Spezia,0–1,Udinese,5162,Stadio Alberto Picco,Marco Guida,https://fbref.com/en/matches/f883c757/Spezia-Udinese-September-12-2021-Serie-A
12/09,15:00,Torino,4–0,Salernitana,9082,Stadio Olimpico di Torino,Gianluca Aureliano,https://fbref.com/en/matches/5f201a49/Torino-Salernitana-September-12-2021-Serie-A
